country,provider,name,gb,days,usd,perGb,source
"canada","eSIM.dog","GREEN_CA_D81CCE0EA9","40","365","87.98","2.2","https://esim.dog/ca"
"canada","Airalo","canada-mobile-30days-10gb","10","30","23","2.3","https://www.airalo.com/canada-esim"
"canada","Airalo","canada-mobile-plus-15days-20gb","20","15","48","2.4","https://www.airalo.com/canada-esim"
"canada","Airalo","canada-mobile-plus-30days-20gb","20","30","48","2.4","https://www.airalo.com/canada-esim"
"canada","eSIM.dog","BLACK_CA_6B81C783AD","1","21","2.44","2.44","https://esim.dog/ca"
"canada","eSIM.dog","BLACK_CA_AC2AABDC48","1","25","2.44","2.44","https://esim.dog/ca"
"canada","eSIM.dog","BLACK_CA_E1CC2D8C01","1","30","2.44","2.44","https://esim.dog/ca"
"canada","eSIM.dog","BLACK_CA_AC9D8F3468","1","90","2.44","2.44","https://esim.dog/ca"
"canada","eSIM.dog","BLACK_CA_2GB_90D","2","90","4.89","2.445","https://esim.dog/ca"
"canada","eSIM.dog","BLACK_CA_0AA2D2EC6E","3","90","7.34","2.447","https://esim.dog/ca"
"canada","eSIM.dog","BLACK_CA_4GB_90D","4","90","9.79","2.447","https://esim.dog/ca"
"canada","eSIM.dog","GREEN_CA_3D07515E62","5","365","12.24","2.448","https://esim.dog/ca"
"canada","eSIM.dog","BLACK_CA_6GB_90D","6","90","14.69","2.448","https://esim.dog/ca"
"canada","eSIM.dog","BLACK_CA_19AA565587","1","1","2.49","2.49","https://esim.dog/ca"
"canada","eSIM.dog","AMBER_CA_1GB_2D_333884D3CB","1","2","2.49","2.49","https://esim.dog/ca"
"canada","eSIM.dog","AMBER_CA_1GB_3D_AAA452D33A","1","3","2.49","2.49","https://esim.dog/ca"
"canada","eSIM.dog","BLACK_CA_7A50DDC2FE","1","7","2.49","2.49","https://esim.dog/ca"
"canada","eSIM.dog","BLACK_CA_88767EB60B","1","12","2.49","2.49","https://esim.dog/ca"
"canada","eSIM.dog","BLACK_CA_8354916808","1","14","2.49","2.49","https://esim.dog/ca"
"canada","eSIM.dog","BLACK_CA_450B7FEFC6","1","20","2.49","2.49","https://esim.dog/ca"
"canada","Airalo","canada-mobile-plus-7days-10gb","10","7","26","2.6","https://www.airalo.com/canada-esim"
"canada","Airalo","canada-mobile-3days-3gb","3","3","8","2.667","https://www.airalo.com/canada-esim"
"canada","Airalo","canada-mobile-7days-5gb","5","7","14","2.8","https://www.airalo.com/canada-esim"
"canada","Airalo","canada-mobile-plus-15days-10gb","10","15","28","2.8","https://www.airalo.com/canada-esim"
"canada","eSIM.dog","BLACK_CA_8BBC2CFD52","1","5","2.99","2.99","https://esim.dog/ca"
"canada","eSIM.dog","BLACK_CA_2C02422DA6","1","6","2.99","2.99","https://esim.dog/ca"
"canada","Airalo","canada-mobile-7days-3gb","3","7","9","3","https://www.airalo.com/canada-esim"
"canada","Airalo","canada-mobile-15days-5gb","5","15","15","3","https://www.airalo.com/canada-esim"
